"subj","dprime","contrast"
"0p5y",4.96067139708363,"/i-e/"
"0pan",4.96067139708363,"/i-e/"
"33qh",3.32345442597307,"/i-e/"
"4d9c",4.96067139708363,"/i-e/"
"71wt",4.07565623233487,"/i-e/"
"8dul",4.00243359085447,"/i-e/"
"bnpb",4.96067139708363,"/i-e/"
"c5hm",4.96067139708363,"/i-e/"
"c8ge",4.96067139708363,"/i-e/"
"ch8m",4.96067139708363,"/i-e/"
"duvs",4.07565623233487,"/i-e/"
"h04g",4.877093713032,"/i-e/"
"nq9y",3.10656140078083,"/i-e/"
"nw43",4.07565623233487,"/i-e/"
"p8jp",4.96067139708363,"/i-e/"
"qz10",4.96067139708363,"/i-e/"
"r3ay",3.32345442597307,"/i-e/"
"rkoq",4.96067139708363,"/i-e/"
"s4nr",2.30768551227596,"/i-e/"
"vbv5",4.07565623233487,"/i-e/"
"vckw",3.78697527111589,"/i-e/"
"vp8z",4.96067139708363,"/i-e/"
"wl2w",4.96067139708363,"/i-e/"
"xbf4",4.07565623233487,"/i-e/"
"y24l",3.78697527111589,"/i-e/"
"zt0h",4.96067139708363,"/i-e/"
"0p5y",5.42877957151916,"/u-i/"
"0pan",5.42877957151916,"/u-i/"
"33qh",4.15683272035624,"/u-i/"
"4d9c",5.42877957151916,"/u-i/"
"71wt",5.42877957151916,"/u-i/"
"8dul",5.42877957151916,"/u-i/"
"bnpb",4.72809036396272,"/u-i/"
"c5hm",5.42877957151916,"/u-i/"
"c8ge",5.42877957151916,"/u-i/"
"ch8m",5.42877957151916,"/u-i/"
"duvs",5.42877957151916,"/u-i/"
"h04g",4.6185047531731,"/u-i/"
"nq9y",4.62204786824578,"/u-i/"
"nw43",5.42877957151916,"/u-i/"
"p8jp",5.42877957151916,"/u-i/"
"qz10",5.42877957151916,"/u-i/"
"r3ay",5.42877957151916,"/u-i/"
"rkoq",5.42877957151916,"/u-i/"
"s4nr",5.42877957151916,"/u-i/"
"vbv5",4.72809036396272,"/u-i/"
"vckw",5.42877957151916,"/u-i/"
"vp8z",5.42877957151916,"/u-i/"
"wl2w",5.42877957151916,"/u-i/"
"xbf4",3.92131618160133,"/u-i/"
"y24l",3.92131618160133,"/u-i/"
"zt0h",5.42877957151916,"/u-i/"
"0p5y",2.82891406263321,"/u-y/"
"0pan",3.69895864655862,"/u-y/"
"33qh",4.39864596881424,"/u-y/"
"4d9c",4.60790767247924,"/u-y/"
"71wt",5.33052243259428,"/u-y/"
"8dul",4.52379024365487,"/u-y/"
"bnpb",5.33052243259428,"/u-y/"
"c5hm",5.33052243259428,"/u-y/"
"c8ge",5.33052243259428,"/u-y/"
"ch8m",5.33052243259428,"/u-y/"
"duvs",2.26878697026518,"/u-y/"
"h04g",3.04613461979235,"/u-y/"
"nq9y",1.59491971637552,"/u-y/"
"nw43",1.82214375398904,"/u-y/"
"p8jp",5.33052243259428,"/u-y/"
"qz10",4.05857414679861,"/u-y/"
"r3ay",3.38864511736754,"/u-y/"
"rkoq",5.33052243259428,"/u-y/"
"s4nr",4.52379024365487,"/u-y/"
"vbv5",3.80108640722884,"/u-y/"
"vckw",4.53727287643032,"/u-y/"
"vp8z",1.17934446649773,"/u-y/"
"wl2w",2.55437447946699,"/u-y/"
"xbf4",3.80108640722884,"/u-y/"
"y24l",3.80108640722884,"/u-y/"
"zt0h",5.33052243259428,"/u-y/"
"0p5y",5.58154471425296,"/y-i/"
"0pan",5.58154471425296,"/y-i/"
"33qh",4.77481307175645,"/y-i/"
"4d9c",5.58154471425296,"/y-i/"
"71wt",5.58154471425296,"/y-i/"
"8dul",5.58154471425296,"/y-i/"
"bnpb",4.91241880388229,"/y-i/"
"c5hm",5.58154471425296,"/y-i/"
"c8ge",5.58154471425296,"/y-i/"
"ch8m",5.58154471425296,"/y-i/"
"duvs",5.58154471425296,"/y-i/"
"h04g",4.29028746487794,"/y-i/"
"nq9y",5.58154471425296,"/y-i/"
"nw43",4.91241880388229,"/y-i/"
"p8jp",5.58154471425296,"/y-i/"
"qz10",5.58154471425296,"/y-i/"
"r3ay",5.58154471425296,"/y-i/"
"rkoq",5.58154471425296,"/y-i/"
"s4nr",5.58154471425296,"/y-i/"
"vbv5",5.58154471425296,"/y-i/"
"vckw",4.91241880388229,"/y-i/"
"vp8z",3.95298311319547,"/y-i/"
"wl2w",5.58154471425296,"/y-i/"
"xbf4",5.58154471425296,"/y-i/"
"y24l",5.58154471425296,"/y-i/"
"zt0h",4.77481307175645,"/y-i/"
